facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-69.892050229243637,-291.94844290675428,0,1,1,5.667009051581716,0,5.667009051581716,0,0.051557093245691021,0,0,0,0
1,4738,0,1,2,-57.544046767232146,-294.41578411196366,-64.157113887806247,-292.00000000009061,0,1,1,5.6670088717805269,5.6670088717805269,5.6670088717805269,5.6670088717805269,-9.060840966412795e-11,4.5691024297411786e-09,9.1382048594823573e-09,11.91665810726559,2.1028126789435349
2,4739,0,1,2,-51.972508213591745,-295.45021519734087,-58.262712099335502,-292.00000000076335,0,1,1,5.6670026762271677,5.6670026762271677,5.6670026762271677,5.6670026762271677,-7.6337869359122155e-10,5.0997073230973911e-09,1.0199414646194782e-08,14.983134763726325,2.6439258316534646
3,4740,0,1,2,-46.382500015385318,-296.37920875026509,-52.265166362109142,-291.99999999929082,0,1,1,5.6668555264933627,5.6668555264933627,5.6668555264933627,5.6668555264933627,7.0917849370744069e-10,4.7885180265438976e-09,9.5770360530877952e-09,18.867818253579323,3.3295040195342134
4,4741,0,1,2,-40.777206134552969,-297.20228457110954,-46.182309079953427,-292.00000000006929,0,1,1,5.6644525148973104,5.6644525148973104,5.6644525148973104,5.6644525148973104,-6.9263705881894424e-11,5.4024269502406241e-09,1.0804853900481248e-08,19.844432347703172,3.5033275140912585
5,4742,0,1,2,-35.171789341328953,-297.91777208683732,-40.026164644125224,-292.00000000093718,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,-9.3714902504871134e-10,5.5858606629044516e-09,1.1171721325808903e-08,23.446388228768452,4.1587539104307618
6,4743,0,1,2,-29.659946202822628,-298.51776838242779,-33.899865953847346,-291.99999999829129,0,1,1,5.4514406245835199,5.4514406245835199,5.4514406245835199,5.4514406245835199,1.7087131709558887e-09,3.499110334814759e-09,6.9982206696295179e-09,25.15799823540069,4.6149265795814687
7,4744,0,1,2,-24.569542711258009,-298.98268229992993,-28.181063219174526,-292.00000000203971,0,1,1,4.7721088415209811,4.7721088415209811,4.7721088415209811,4.7721088415209811,-2.039712398982374e-09,4.2912802200589795e-09,8.5825604401179589e-09,24.206532073700963,5.0725020902888254
8,4745,0,1,2,-20.361908301554791,-299.30257228435619,-23.414364749029957,-291.99999999818044,0,1,1,3.6676500851827285,3.6676500851827285,3.6676500851827285,3.6676500851827285,1.8195862594438945e-09,1.2475425137381535e-09,2.495085027476307e-09,20.172325576194812,5.5000681928984489
9,4746,0,1,2,-17.172766816942591,-299.50499434800952,-19.780446784817105,-292.00000000136043,0,1,1,2.7235568286210583,2.7235568286210583,2.7235568286210583,2.7235568286210583,-1.3604619653051484e-09,1.9195738332200563e-09,3.8391476664401125e-09,14.969876268874126,5.4964435151710784
10,4747,0,1,2,-14.759744498300364,-299.63484015704466,-17.020283044469174,-291.99999999918145,0,1,1,2.1095083855509627,2.1095083855509627,2.1095083855509627,2.1095083855509627,8.1851680988620501e-10,2.0105517251067795e-10,4.021103450213559e-10,11.753764258697442,5.5718025769438162
11,4748,0,1,2,-12.846374029975385,-299.72358915994516,-14.825718884833364,-292.0000000004074,0,1,1,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.7213661579020056,-4.0736836126598059e-10,4.6009063225938007e-10,9.2018126451876014e-10,9.7737475448437152,5.6779015318599733
12,4749,0,1,2,-11.253888009442537,-299.78794598302107,-12.995524200667724,-291.99999999983868,0,1,1,1.4662168355020613,1.4662168355020613,1.4662168355020613,1.4662168355020613,1.6129320101754274e-10,1.1596057447604835e-11,2.319211489520967e-11,8.3584346873267812,5.7006811577529666
13,4750,0,1,2,-9.8770180763650828,-299.83667048905374,-11.410699051765317,-292.00000000005753,0,1,1,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.2892539824398586,-5.7497118177707307e-11,5.7838178690872149e-11,1.1567635738174431e-10,7.4355186242214604,5.7673032044082237
14,4751,0,1,2,-8.6517492428578073,-299.87465615346883,-9.9986807167324017,-291.99999999998545,0,1,1,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.4551915228366852e-11,1.0231815394945443e-12,2.0463630789890885e-12,6.7356895100389007,5.7943103192092567
15,4752,0,1,2,-7.5368963733001983,-299.90483491416489,-8.712687828528491,-292.00000000000608,0,1,1,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.0680602336653493,-6.0538241086760528e-12,6.0538241086760528e-12,1.0743406164692715e-11,6.2213391321889455,5.8248953908139329
16,4753,0,1,2,-6.5048279804293969,-299.92905642192591,-7.5212849982679817,-292.00000000000028,0,1,1,0.996647978475518,0.996647978475518,0.996647978475518,0.996647978475518,-2.8421709430404007e-13,8.2422957348171622e-13,1.6484591469634324e-12,5.8273142801790501,5.8469132592759214
17,4754,0,1,2,-5.5356874011803932,-299.94855277341316,-6.4018455589356211,-292.00000000000176,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-1.7905676941154523e-12,1.7905676941154523e-12,2.2737367544323206e-12,5.5253397670033308,5.8653675621724917
18,4755,0,1,2,-4.6148115539938175,-299.96416622408447,-5.3376400464834042,-292.00000000000119,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-1.2221335055073723e-12,1.2221335055073723e-12,1.3642420526593924e-12,5.2923540556596445,5.8804542189926154
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,-4.3157901742442331,-292.00000000000136,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-1.3358203432289883e-12,1.3358203432289883e-12,1.4210854715202004e-12,5.1138176577920147,5.8918017112846233
20,4757,0,1,2,-2.8750933556178859,-299.98592605657296,-3.3260794808844132,-292.00000000000125,0,1,1,0.84381556477649255,0.84381556477649255,0.84381556477649255,0.84381556477649255,-1.2505552149377763e-12,1.2505552149377763e-12,1.3073986337985843e-12,4.9799201971355638,5.9016690435837491
21,4758,0,1,2,-2.039777413071544,-299.99278054292495,-2.3598813523040771,-292.00000000000125,0,1,1,0.82687418534381452,0.82687418534381452,0.82687418534381452,0.82687418534381452,-1.2505552149377765e-12,1.2505552149377765e-12,1.2505552149377763e-12,4.8848472701207362,5.907606449328946
22,4759,0,1,2,-1.2184259930857659,-299.99724837647989,-1.4096909435841076,-292.00000000000125,0,1,1,0.81585449689860201,0.81585449689860201,0.81585449689860201,0.81585449689860201,-1.2221335055073721e-12,1.2221335055073721e-12,1.2505552149377763e-12,4.8236503653963574,5.9123904859665943
23,4760,0,1,2,-0.40525105453192561,-299.99945257094373,-0.46887541263453958,-292.00000000000125,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-1.1937117960769681e-12,1.1937117960769681e-12,1.1937117960769683e-12,4.793599552459499,5.9143525047768728
24,4761,0,1,2,0.40525105453124571,-299.99945257094373,0.46887541263379617,-292.00000000000125,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-1.1937117960769681e-12,1.1937117960769681e-12,1.1937117960769683e-12,4.7935995531863682,5.9143525056736852
25,4762,0,1,2,1.2184259930850863,-299.99724837647989,1.409690943583356,-292.00000000000119,0,1,1,0.81585449689860223,0.81585449689860223,0.81585449689860223,0.81585449689860223,-1.1652900866465645e-12,1.1652900866465645e-12,1.1937117960769683e-12,4.8236503644238367,5.9123904847745665
26,4763,0,1,2,2.0397774130707313,-299.99278054292495,2.3598813523031468,-292.00000000000119,0,1,1,0.82687418534354784,0.82687418534354784,0.82687418534354784,0.82687418534354784,-1.2221335055073723e-12,1.2221335055073723e-12,1.2505552149377763e-12,4.8848472707298232,5.9076064500674645
27,4764,0,1,2,2.87509335561694,-299.98592605657302,3.3260794808833221,-292.00000000000125,0,1,1,0.84381556477649244,0.84381556477649244,0.84381556477649244,0.84381556477649244,-1.2221335055073723e-12,1.2221335055073723e-12,1.2505552149377763e-12,4.979920196053671,5.9016690423016058
28,4765,0,1,2,3.7309256073250641,-299.97648550798596,4.3157901742431539,-292.00000000000131,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-1.3642420526593922e-12,1.3642420526593922e-12,1.4210854715202004e-12,5.1138176597269656,5.8918017135139458
29,4766,0,1,2,4.6148115539928716,-299.96416622408452,5.3376400464823366,-292.00000000000119,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-1.1652900866465643e-12,1.1652900866465643e-12,1.3073986337985843e-12,5.2923540545912156,5.8804542178054602
30,4767,0,1,2,5.5356874011794464,-299.94855277341316,6.4018455589345225,-292.00000000000176,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-1.7905676941154525e-12,1.7905676941154525e-12,2.2737367544323206e-12,5.5253397673667681,5.8653675625582951
31,4768,0,1,2,6.5048279804284501,-299.92905642192591,7.5212849982668537,-292.00000000000034,0,1,1,0.99664797847551889,0.99664797847551889,0.99664797847551889,0.99664797847551889,-3.1263880373444408e-13,8.2422957348171622e-13,1.6484591469634324e-12,5.827314279686064,5.8469132587812727
32,4769,0,1,2,7.5368963732991192,-299.90483491416489,8.712687828527228,-292.00000000000614,0,1,1,1.0680602336650806,1.0680602336650806,1.0680602336650806,1.0680602336650806,-6.1106675275368616e-12,6.1106675275368616e-12,1.0800249583553523e-11,6.2213391321115514,5.8248953907429364
33,4770,0,1,2,8.6517492428565923,-299.87465615346889,9.998680716731025,-291.9999999999855,0,1,1,1.1624661329768253,1.1624661329768253,1.1624661329768253,1.1624661329768253,1.4551915228366852e-11,1.0231815394945443e-12,2.0463630789890885e-12,6.7356895108313903,5.7943103198909895
34,4771,0,1,2,9.8770180763638713,-299.83667048905374,11.410699051763949,-292.00000000005747,0,1,1,1.2892539824398639,1.2892539824398639,1.2892539824398639,1.2892539824398639,-5.7497118177707307e-11,5.7866600400302566e-11,1.1573320080060512e-10,7.435518623635927,5.767303203954036
35,4772,0,1,2,11.253888009441194,-299.78794598302113,12.995524200666205,-291.99999999983868,0,1,1,1.4662168355017893,1.4662168355017893,1.4662168355017893,1.4662168355017893,1.6129320101754274e-10,1.1596057447604837e-11,2.319211489520967e-11,8.3584346872258255,5.7006811576851693
36,4773,0,1,2,12.846374029973774,-299.72358915994528,14.825718884831531,-292.0000000004074,0,1,1,1.7213661579017394,1.7213661579017394,1.7213661579017394,1.7213661579017394,-4.0739678297541104e-10,4.6011905396881048e-10,9.2023810793762095e-10,9.7737475456479803,5.677901532328077
37,4774,0,1,2,14.759744498298353,-299.63484015704483,17.020283044466911,-291.99999999918145,0,1,1,2.1095083855504293,2.1095083855504293,2.1095083855504293,2.1095083855504293,8.1857365330506582e-10,2.0102675080124754e-10,4.0205350160249509e-10,11.753764257316055,5.571802576290386
38,4775,0,1,2,17.172766816939919,-299.50499434800975,19.780446784814117,-292.00000000136043,0,1,1,2.7235568286202585,2.7235568286202585,2.7235568286202585,2.7235568286202585,-1.3604335435957182e-09,1.9195454115106259e-09,3.8390908230212517e-09,14.9698762689532,5.4964435152017268
39,4776,0,1,2,20.361908301551317,-299.30257228435642,23.414364749025999,-291.99999999818044,0,1,1,3.6676500851819309,3.6676500851819309,3.6676500851819309,3.6676500851819309,1.8195862594438948e-09,1.2475425137381535e-09,2.495085027476307e-09,20.17232557667435,5.5000681930303923
40,4777,0,1,2,24.569542711253611,-298.98268229993027,28.181063219169538,-292.00000000203971,0,1,1,4.7721088415199144,4.7721088415199144,4.7721088415199144,4.7721088415199144,-2.039712398982374e-09,4.2912802200589795e-09,8.5825604401179589e-09,24.206532073458661,5.0725020902391842
41,4778,0,1,2,29.659946202817576,-298.51776838242836,33.899865953841726,-291.99999999829134,0,1,1,5.4514406245832481,5.4514406245832481,5.4514406245832481,5.4514406245832481,1.7086847492464583e-09,3.4991387565241894e-09,6.9982775130483788e-09,25.157998235220663,4.6149265795486754
