contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-2.4319951934462583,-1.5578131772707926,-0.8729440387570063
inner,-29.250000000000064,249.99999999999994,-1.6071095264629107,-1.0372699717395992,-0.7073902003941969
inner,-28.50000000000006,249.99999999999997,-0.685148962847626,-0.5063283080043095,-0.5159648001917778
inner,-27.750000000000156,249.99999999999997,-0.5026601528434269,-0.4016437315261575,-0.4798764861765344
inner,-27.000000000000153,249.99999999999994,-0.35051490307307825,-0.27642209726298317,-0.4890931654867933
inner,-26.25000000000025,249.99999999999994,-0.25803414936344193,-0.19252435854701833,-0.5136847743311435
inner,-25.500000000000245,249.99999999999994,-0.1888603159962649,-0.12482455222940043,-0.5465623615244197
inner,-24.75000000000024,249.99999999999994,-0.13900898966104425,-0.071869766354901,-0.5854477282318549
inner,-24.000000000000288,249.99999999999997,-0.10356223946829235,-0.0296066139735619,-0.6298388138169551
inner,-23.250000000000334,249.99999999999997,-0.08084712182090781,0.0036287672953343453,-0.6797912898819152
inner,-22.50000000000033,249.99999999999997,-0.07018268825412388,0.02889263048692453,-0.7355931699772573
inner,-21.750000000000377,249.99999999999997,-0.07187272706178954,0.046531913723007357,-0.7975781709745344
inner,-21.000000000000423,249.99999999999997,-0.08693257436856106,0.05638434348955229,-0.8660050372762551
inner,-20.25000000000042,250.00000000000003,-0.1169917825812063,0.05781381490443521,-0.940940782942919
inner,-19.500000000000465,250.00000000000003,-0.16418517045189052,0.049729182139049866,-1.022134805000863
inner,-18.75000000000051,250.0,-0.23102136925359956,0.030576555995673937,-1.1088772374629912
inner,-18.000000000000508,250.00000000000003,-0.320233237661844,-0.001710214930248255,-1.1998404026499339
inner,-17.250000000000554,250.00000000000003,-0.4344050785564568,-0.04965527914112511,-1.2929433500367944
inner,-16.5000000000006,250.00000000000003,-0.5752363331656083,-0.1158954229030621,-1.385376687391306
inner,-15.7500000000007,250.00000000000003,-0.7429459204592258,-0.20278039150972554,-1.4738429783352442
inner,-15.000000000000645,250.00000000000003,-0.9361663383528802,-0.3121413013335249,-1.5548894961334614
inner,-14.25000000000064,250.00000000000003,-1.1521680212326493,-0.4451747721218321,-1.6252030017505583
inner,-13.500000000000636,250.00000000000006,-1.3871835983269258,-0.6023572319033025,-1.6818220632378034
inner,-12.750000000000632,250.00000000000003,-1.636494729063313,-0.783155936873943,-1.7223408885236309
inner,-12.000000000000627,250.00000000000003,-1.8945747826651826,-0.9857046349050389,-1.7451646346991483
inner,-11.250000000000675,250.00000000000003,-2.1561263535045105,-1.20722468416443,-1.7495764019949318
inner,-10.50000000000067,250.00000000000003,-2.417038214856481,-1.4447554808934355,-1.7354355806701105
inner,-9.750000000000563,250.00000000000003,-2.6740373066058054,-1.695145741112289,-1.7028581588301088
inner,-9.00000000000056,249.99999999999997,-2.9240851711344216,-1.9547520576032156,-1.652137211278958
inner,-8.250000000000556,249.99999999999994,-3.1642836450860927,-2.2193980109120446,-1.5837682353634608
inner,-7.500000000000552,249.99999999999997,-3.3919293521463705,-2.4844474999653805,-1.498469405178826
inner,-6.750000000000547,249.99999999999997,-3.6045583845014453,-2.744922691121522,-1.3971811600767001
inner,-6.000000000000543,249.99999999999997,-3.7999785081460478,-2.9956583783324806,-1.2810505451218812
inner,-5.250000000000538,249.99999999999997,-3.9762902373517734,-3.2314787377482577,-1.1514052245434492
inner,-4.500000000000535,249.99999999999997,-4.131894288393314,-3.4473795448166995,-1.009720955450383
inner,-3.750000000000479,249.99999999999997,-4.265484304073392,-3.638699775491188,-0.8575869702959793
inner,-3.0000000000004747,250.00000000000003,-4.376028202352639,-3.8012720987194757,-0.696672863762227
inner,-2.2500000000004707,250.00000000000003,-4.462741138038693,-3.931545064539182,-0.528699987458902
inner,-1.5000000000004665,250.00000000000006,-4.525054927552624,-4.026675395730744,-0.35541920217100487
inner,-0.7500000000004622,250.0,-4.562588367397953,-4.084592273580928,-0.17859565727239773
inner,-4.579998741307465e-13,249.99999999999997,-4.5751231592308,-4.104038375811802,-1.0964567650412757e-13
inner,0.7499999999995463,250.00000000000003,-4.5625883673979795,-4.084592273580974,0.17859565727218185
inner,1.4999999999995506,250.00000000000006,-4.525054927552689,-4.026675395730841,0.3554192021707927
inner,2.2499999999995546,250.00000000000003,-4.462741138038771,-3.931545064539312,0.5286999874586842
