radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-4.5751231592308,-4.104038375811802,-0.0
251.22188166194047,-4.579998741307465e-13,-4.602298435836328,-4.00718402618606,-0.05945421487664941
252.4417269452024,-4.579998741307465e-13,-4.653295891882237,-3.8197148893663746,-0.13638121402077852
253.6575329869864,-4.579998741307465e-13,-4.698042593735799,-3.644477488461043,-0.22894164924408908
254.86736324063804,-4.579998741307465e-13,-4.737387426713014,-3.480983249629731,-0.33539227830823204
256.06937565187303,-4.579998741307465e-13,-4.77206401542569,-3.32875225354827,-0.45408768948999084
257.2618487752099,-4.579998741307465e-13,-4.802706673505458,-3.1873075001314892,-0.5834826617601379
258.443200884959,-4.579998741307465e-13,-4.829863705260999,-3.056172279302081,-0.722134141981806
259.6120057067602,-4.579998741307465e-13,-4.854008675582716,-2.9348697633705045,-0.868702742060964
260.7670018148509,-4.579998741307465e-13,-4.875550066717368,-2.822924157363838,-1.0219531527882877
261.90709503436995,-4.0711099922733015e-13,-4.894839658338813,-2.7198627821782724,-1.18075312223603
263.0313612770457,-4.0711099922733015e-13,-4.912179862685088,-2.6252185743707512,-1.344071916271578
264.1390394715111,-4.0711099922733015e-13,-4.92783015142534,-2.5385328319696967,-1.510976849004845
265.22952273288445,-4.0711099922733015e-13,-4.942012733934172,-2.4593577869707968,-1.6806289614988073
266.3023532401337,-4.0711099922733015e-13,-4.95491757918024,-2.3872588306708833,-1.8522788658872276
267.3572050591915,-4.0711099922733015e-13,-4.966706824239364,-2.321816484009205,-2.025260396110302
268.39387511414844,-4.0711099922733015e-13,-4.977518653662725,-2.262627962059265,-2.1989852855852656
269.4122646641059,-4.0711099922733015e-13,-4.9874707127543925,-2.209308238601796,-2.3729361630898644
270.41237516433773,-4.0711099922733015e-13,-4.996663102029831,-2.1614906963884697,-2.546661928136301
271.3942880938072,-4.0711099922733015e-13,-5.005180963404275,-2.118827571134702,-2.719770461449252
272.35815306443567,-3.562221243239139e-13,-5.013096724489357,-2.080990019199053,-2.891922793560904
273.3041839997729,-3.562221243239139e-13,-5.020472058971432,-2.0476678832540176,-3.0628288860952897
274.2326383714426,-3.562221243239139e-13,-5.027359546840792,-2.018569363306872,-3.232240560485763
275.143816294743,-3.562221243239139e-13,-5.033804112090752,-1.9934204262666064,-3.399948176214066
276.03805315091637,-3.562221243239139e-13,-5.039844250143734,-1.9719641652938562,-3.5657763911334923
276.91570136310753,-3.562221243239139e-13,-5.045513041338805,-1.953960118904331,-3.7295780992514898
277.7771379446195,-3.562221243239139e-13,-5.05083903738992,-1.9391834257244471,-3.891233354552341
278.6227522839233,-3.053332494204976e-13,-5.055846998575235,-1.927424021917342,-4.050644850591795
279.4529408848375,-3.053332494204976e-13,-5.0605584900149685,-1.918485846982136,-4.207734874027521
280.2681060111209,-3.053332494204976e-13,-5.064992394147298,-1.9121860048013801,-4.362443186015464
281.0686516979253,-3.053332494204976e-13,-5.0691653288018355,-1.9083539557701927,-4.514724585360786
281.85497865019653,-3.053332494204976e-13,-5.073091989221999,-1.9068307278384669,-4.664546418460032
282.6274872678427,-3.053332494204976e-13,-5.076785436576511,-1.9074681492372123,-4.811887786748603
283.38657205538414,-3.053332494204976e-13,-5.080257326470458,-1.910128114611939,-4.956737252179387
284.13261858323847,-2.5444437451708134e-13,-5.08351809861529,-1.9146818804797472,-5.099091151432517
284.86600821749505,-2.5444437451708134e-13,-5.086577144738218,-1.921009398125231,-5.23895350769586
285.58711253149676,-2.5444437451708134e-13,-5.0894429398263,-1.9289986664466698,-5.376334076551899
286.29629085157603,-2.5444437451708134e-13,-5.0921231588837506,-1.9385451188741103,-5.511247085683672
286.99389441534925,-2.5444437451708134e-13,-5.0946247964802955,-1.9495510908734195,-5.643711319156623
287.6802684864932,-2.5444437451708134e-13,-5.0969542615473244,-1.9619253032223676,-5.773749881617434
288.35574310756084,-2.0355549961366507e-13,-5.099117459219695,-1.9755823462523279,-5.901387877276886
289.0206388933403,-2.0355549961366507e-13,-5.10111988179375,-1.9904422574484917,-6.026653007187489
289.6752678715385,-2.0355549961366507e-13,-5.102966684412971,-2.006430139194802,-6.149575274290383
290.31992981674114,-2.0355549961366507e-13,-5.104662749311772,-2.0234757907864562,-6.270185890623529
290.9549154456001,-2.0355549961366507e-13,-5.106212741599123,-2.041513404773422,-6.388517518714654
291.58050529814085,-2.0355549961366507e-13,-5.107621145183739,-2.060481293999084,-6.5046037381966855
292.19696986418074,-2.0355549961366507e-13,-5.108892282676219,-2.0803216534373536,-6.618478780394366
292.8045709086909,-1.526666247102488e-13,-5.110030312322753,-2.100980364934319,-6.73017751183803
293.403561409205,-1.526666247102488e-13,-5.111039190498184,-2.122406765630942,-6.8397351832890285
293.99418133590086,-1.526666247102488e-13,-5.111922635080546,-2.144553482788425,-6.947186447437886
294.57666755343416,-1.526666247102488e-13,-5.112684046941762,-2.1673762776975867,-7.052566971008512
295.1512428932955,-1.526666247102488e-13,-5.113326438188674,-2.190833872366161,-7.155911268911746
295.71812896585146,-1.526666247102488e-13,-5.113852349159524,-2.2148877617035323,-7.257254856854497
296.2775332923274,-1.0177774980683254e-13,-5.114263788872487,-2.23950196763466,-7.356631788343322
296.8296593831326,-1.0177774980683254e-13,-5.114562223749057,-2.264642834768473,-7.454076332248051
297.37470036065207,-1.0177774980683254e-13,-5.114748600145681,-2.2902788560282366,-7.549621721727419
297.91284597422845,-1.0177774980683254e-13,-5.114823414111411,-2.31638049379439,-7.6433012881157305
298.4442770883336,-1.0177774980683254e-13,-5.114786803112796,-2.342919963513488,-7.7351474008160865
298.9691684020348,-1.0177774980683254e-13,-5.11463869817033,-2.3698710974040553,-7.825191869851512
299.4876889533197,-5.088887490341627e-14,-5.114378895240376,-2.397209172050187,-7.913465964733081
299.99999999999994,-5.088887490341627e-14,-5.114221035156526,-2.410971935345536,-7.999999999998694
