radius_мм,relative_angle_deg,sigma_rr_mpa,sigma_tt_mpa,radial_displacement_мм
249.99999999999997,-4.579998741307465e-13,-4.568731440527511,-4.071425687251821,-0.0
251.22188166194047,-4.579998741307465e-13,-4.600073112178592,-3.955426058143317,-0.06115264075205522
252.4417269452024,-4.579998741307465e-13,-4.658423126002275,-3.732027708106791,-0.1430575347874456
253.6575329869864,-4.579998741307465e-13,-4.7088449260798555,-3.525327236975385,-0.24327028527976424
254.86736324063804,-4.579998741307465e-13,-4.752688031951562,-3.334357856206132,-0.35954267517019134
256.06937565187303,-4.579998741307465e-13,-4.791070595256032,-3.1582247339833884,-0.4898075300322057
257.2618487752099,-4.579998741307465e-13,-4.824921109368875,-2.996088334372587,-0.6321672351543068
258.443200884959,-4.579998741307465e-13,-4.855011356591947,-2.847154143531441,-0.7848842282492162
259.6120057067602,-4.579998741307465e-13,-4.881982814620168,-2.710666690422321,-0.946372937289396
260.7670018148509,-4.0711099922733015e-13,-4.9063680755430275,-2.585906409667241,-1.1151921762400316
261.90709503436995,-4.0711099922733015e-13,-4.928608435465302,-2.472188210000077,-1.2900373544137136
263.0313612770457,-4.0711099922733015e-13,-4.949068479759592,-2.3688609088214827,-1.4697333014308753
264.1390394715111,-4.0711099922733015e-13,-4.968048236350926,-2.2753071969814425,-1.6532259767089508
265.22952273288445,-4.0711099922733015e-13,-4.985793396611992,-2.1909436027182476,-1.8395741015659852
266.3023532401337,-4.0711099922733015e-13,-5.002503944828624,-2.11522023078303,-2.0279416981447764
267.3572050591915,-4.0711099922733015e-13,-5.018341431402407,-2.0476203726259063,-2.217588828406022
268.39387511414844,-4.0711099922733015e-13,-5.033435129515537,-1.9876598244561277,-2.407863969885344
269.4122646641059,-4.0711099922733015e-13,-5.047887266598069,-1.9348858266206204,-2.598194967870423
270.41237516433773,-3.562221243239139e-13,-5.061777473911558,-1.888875725349302,-2.7880829369019198
271.3942880938072,-3.562221243239139e-13,-5.075166526196977,-1.8492355664513325,-2.9770935228802475
272.35815306443567,-3.562221243239139e-13,-5.088099522203047,-1.8155984627137185,-3.164849988098938
273.3041839997729,-3.562221243239139e-13,-5.100608608301403,-1.787622803136776,-3.351028231837761
274.2326383714426,-3.562221243239139e-13,-5.112715255877636,-1.7649905073546752,-3.5353488408806184
275.143816294743,-3.562221243239139e-13,-5.124432231328863,-1.7474051807490625,-3.7175733385563987
276.03805315091637,-3.562221243239139e-13,-5.135765264868944,-1.7345903389127035,-3.897499512737756
276.91570136310753,-3.053332494204976e-13,-5.14671444185668,-1.7262877159916268,-4.074954835554811
277.7771379446195,-3.053332494204976e-13,-5.157275449437037,-1.722255571255649,-4.249795344045094
278.6227522839233,-3.053332494204976e-13,-5.167440626002911,-1.7222671341734754,-4.421900817027717
279.4529408848375,-3.053332494204976e-13,-5.177199840697979,-1.7261091596938445,-4.591171581501234
280.2681060111209,-3.053332494204976e-13,-5.186541283453623,-1.7335805692470074,-4.757526339156126
