facet_id,element_id,surface_index,active,active_gauss_points,reference_midpoint_x,reference_midpoint_y,deformed_midpoint_x,deformed_midpoint_y,normal_x,normal_y,thickness,facet_length,active_length,integrated_area,active_area,average_gap,average_penetration,maximum_penetration,integrated_normal_force,average_pressure
0,4737,0,0,0,-63.09505483724314,-293.27629516752222,-69.880510729528027,-291.95328325979892,0,1,1,5.667009051581716,0,5.667009051581716,0,0.0467167402010773,0,0,0,0
1,4738,0,1,2,-57.544046767232146,-294.41578411196366,-64.14701556509165,-292.0050305524814,0,1,1,5.6670088717805269,5.6670088717805269,5.6670088717805269,5.6670088717805269,-0.0050305524814291402,0.0050305524814291402,0.005754385599516354,14.25409277110824,2.5152762407145701
2,4739,0,1,2,-51.972508213591745,-295.45021519734087,-58.253718798516054,-292.00485527556663,0,1,1,5.6670026762271677,5.6670026762271677,5.6670026762271677,5.6670026762271677,-0.0048552755666833036,0.0048552755666833036,0.0054779125108552762,13.757429815107329,2.4276377833416518
3,4740,0,1,2,-46.382500015385318,-296.37920875026509,-52.256211073817084,-292.00635379418583,0,1,1,5.6668555264933627,5.6668555264933627,5.6668555264933627,5.6668555264933627,-0.0063537941858271543,0.0063537941858271543,0.0065963273697775548,18.003016848078005,3.1768970929135776
4,4741,0,1,2,-40.777206134552969,-297.20228457110954,-46.174388526510732,-292.0073316720966,0,1,1,5.6644525148973104,5.6644525148973104,5.6644525148973104,5.6644525148973104,-0.0073316720965976856,0.0073316720965976856,0.007653716987590542,20.764954222987598,3.6658360482988428
5,4742,0,1,2,-35.171789341328953,-297.91777208683732,-40.019070172979212,-292.00838143105659,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,-0.008381431056562862,0.008381431056562862,0.0086654647836326149,23.626582709299445,4.190715528281431
6,4743,0,1,2,-29.659946202822628,-298.51776838242779,-33.893738515508993,-292.00929485175209,0,1,1,5.4514406245835199,5.4514406245835199,5.4514406245835199,5.4514406245835199,-0.0092948517520881069,0.0092948517520881069,0.0095381817093880272,25.335166220407206,4.6474258760440534
7,4744,0,1,2,-24.569542711258009,-298.98268229992993,-28.175924588453093,-292.00999313816101,0,1,1,4.7721088415209811,4.7721088415209811,4.7721088415209811,4.7721088415209811,-0.0099931381609792425,0.0099931381609792425,0.010152964049780167,23.844171486274881,4.9965690804896212
8,4745,0,1,2,-20.361908301554791,-299.30257228435619,-23.410101600908877,-292.01046464357529,0,1,1,3.6676500851827285,3.6676500851827285,3.6676500851827285,3.6676500851827285,-0.010464643575232913,0.010464643575232913,0.010577041464273407,19.190325450054942,5.2323217876164563
9,4746,0,1,2,-17.172766816942591,-299.50499434800952,-19.776831043608833,-292.01080519741834,0,1,1,2.7235568286210583,2.7235568286210583,2.7235568286210583,2.7235568286210583,-0.01080519741833541,0.01080519741833541,0.01088941838224855,14.714284606653017,5.4025987091677043
10,4747,0,1,2,-14.759744498300364,-299.63484015704466,-17.017161372119979,-292.01105490549764,0,1,1,2.1095083855509627,2.1095083855509627,2.1095083855509627,2.1095083855509627,-0.01105490549764454,0.01105490549764454,0.011114853560513893,11.660207924377298,5.5274527488222702
11,4748,0,1,2,-12.846374029975385,-299.72358915994516,-14.822999865720966,-292.01123433801729,0,1,1,1.7213661579020056,1.7213661579020056,1.7213661579020056,1.7213661579020056,-0.011234338017231948,0.011234338017231948,0.011277985367883048,9.6692046346474978,5.6171690086159742
12,4749,0,1,2,-11.253888009442537,-299.78794598302107,-12.993142940950397,-292.01136640172081,0,1,1,1.4662168355020611,1.4662168355020611,1.4662168355020611,1.4662168355020611,-0.011366401720835029,0.011366401720835029,0.011399001384972962,8.3328047810839578,5.6832008604175144
13,4750,0,1,2,-9.8770180763650828,-299.83667048905374,-11.408610077176883,-292.01146653441708,0,1,1,1.2892539824398586,1.2892539824398586,1.2892539824398586,1.2892539824398586,-0.011466534417053253,0.011466534417053253,0.011491746392039204,7.3916375809848045,5.7332672085266267
14,4751,0,1,2,-8.6517492428578073,-299.87465615346883,-9.9968513894034228,-292.01154448414655,0,1,1,1.1624661329768256,1.1624661329768256,1.1624661329768256,1.1624661329768256,-0.011544484146554623,0.011544484146554623,0.01156427646890279,6.7100359215288101,5.7722420732773108
15,4752,0,1,2,-7.5368963733001983,-299.90483491416489,-8.7110944862922892,-292.01160620383297,0,1,1,1.0680602336653493,1.0680602336653493,1.0680602336653493,1.0680602336653493,-0.011606203832940309,0.011606203832940309,0.011622045388151037,6.1980623888889497,5.8031019164701547
16,4753,0,1,2,-6.5048279804293969,-299.92905642192591,-7.5199098266435929,-292.01165570245678,0,1,1,0.99664797847551811,0.99664797847551811,0.99664797847551811,0.99664797847551811,-0.011655702456806694,0.011655702456806694,0.011668438945378057,5.8083161456442607,5.8278512284033468
17,4754,0,1,2,-5.5356874011803932,-299.94855277341316,-6.4006752012135859,-292.01169548740643,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-0.011695487406427674,0.011695487406427674,0.011705720769271011,5.5087376005201367,5.8477437032138369
18,4755,0,1,2,-4.6148115539938175,-299.96416622408447,-5.3366642862689115,-292.01172734080376,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-0.011727340803759036,0.011727340803759036,0.011735498008476952,5.2772487764992242,5.8636704018795172
19,4756,0,1,2,-3.73092560732601,-299.9764855079859,-4.3150012264923774,-292.01175247305343,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-0.011752473053434187,0.011752473053434187,0.01175882595987332,5.1003077809175483,5.8762365267170935
20,4757,0,1,2,-2.8750933556178859,-299.98592605657296,-3.325471455714422,-292.0117717510559,0,1,1,0.84381556477649255,0.84381556477649255,0.84381556477649255,0.84381556477649255,-0.011771751055903223,0.011771751055903223,0.011776528309383139,4.9665933828226256,5.8858755279516126
21,4758,0,1,2,-2.039777413071544,-299.99278054292495,-2.3594499462072802,-292.01178576589712,0,1,1,0.82687418534381452,0.82687418534381452,0.82687418534381452,0.82687418534381452,-0.011785765897144529,0.011785765897144529,0.011789080116045625,4.8726727874271472,5.8928829485722654
22,4759,0,1,2,-1.2184259930857659,-299.99724837647989,-1.4094332404724361,-292.0117948985154,0,1,1,0.81585449689860201,0.81585449689860201,0.81585449689860201,0.81585449689860201,-0.011794898515347541,0.011794898515347541,0.011796857016008744,4.8114604971044681,5.8974492576737703
23,4760,0,1,2,-0.40525105453192561,-299.99945257094373,-0.46878969772212664,-292.01179941031336,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-0.011799410313301449,0.011799410313301449,0.011800056700394634,4.7817278350795309,5.8997051566507253
24,4761,0,1,2,0.40525105453124571,-299.99945257094373,0.46878969772137358,-292.0117994103133,0,1,1,0.81050284855152444,0.81050284855152444,0.81050284855152444,0.81050284855152444,-0.011799410313301449,0.011799410313301449,0.011800056700394634,4.7817278350795309,5.8997051566507253
25,4762,0,1,2,1.2184259930850863,-299.99724837647989,1.4094332404716736,-292.01179489851535,0,1,1,0.81585449689860223,0.81585449689860223,0.81585449689860223,0.81585449689860223,-0.011794898515347542,0.011794898515347542,0.011796857016008744,4.8114604971044699,5.8974492576737712
26,4763,0,1,2,2.0397774130707313,-299.99278054292495,2.3594499462063419,-292.01178576589712,0,1,1,0.82687418534354784,0.82687418534354784,0.82687418534354784,0.82687418534354784,-0.011785765897116107,0.011785765897116107,0.011789080116045625,4.8726727874138245,5.8928829485580536
27,4764,0,1,2,2.87509335561694,-299.98592605657302,3.3254714557133473,-292.0117717510559,0,1,1,0.84381556477649244,0.84381556477649244,0.84381556477649244,0.84381556477649244,-0.01177175105584638,0.01177175105584638,0.011776528309326295,4.9665933827986422,5.88587552792319
28,4765,0,1,2,3.7309256073250641,-299.97648550798596,4.3150012264913116,-292.01175247305343,0,1,1,0.86795481388952234,0.86795481388952234,0.86795481388952234,0.86795481388952234,-0.011752473053462609,0.011752473053462609,0.01175882595987332,5.1003077809298825,5.8762365267313044
29,4766,0,1,2,4.6148115539928716,-299.96416622408452,5.33666428626782,-292.01172734080376,0,1,1,0.89999069095146889,0.89999069095146889,0.89999069095146889,0.89999069095146889,-0.011727340803787456,0.011727340803787456,0.011735498008476952,5.277248776512014,5.8636704018937289
30,4767,0,1,2,5.5356874011794464,-299.94855277341316,6.4006752012124792,-292.01169548740643,0,1,1,0.94202787948668354,0.94202787948668354,0.94202787948668354,0.94202787948668354,-0.011695487406456095,0.011695487406456095,0.011705720769271011,5.5087376005335233,5.8477437032280468
31,4768,0,1,2,6.5048279804284501,-299.92905642192591,7.519909826642504,-292.01165570245678,0,1,1,0.996647978475519,0.996647978475519,0.996647978475519,0.996647978475519,-0.011655702456778272,0.011655702456778272,0.011668438945321213,5.8083161456301022,5.8278512283891359
32,4769,0,1,2,7.5368963732991192,-299.90483491416489,8.711094486291044,-292.01160620383297,0,1,1,1.0680602336650804,1.0680602336650804,1.0680602336650804,1.0680602336650804,-0.011606203832940309,0.011606203832940309,0.011622045388151037,6.1980623888873891,5.8031019164701547
33,4770,0,1,2,8.6517492428565923,-299.87465615346889,9.9968513894020425,-292.01154448414655,0,1,1,1.1624661329768253,1.1624661329768253,1.1624661329768253,1.1624661329768253,-0.011544484146554625,0.011544484146554625,0.01156427646890279,6.7100359215288092,5.7722420732773116
34,4771,0,1,2,9.8770180763638713,-299.83667048905374,11.408610077175515,-292.01146653441702,0,1,1,1.2892539824398639,1.2892539824398639,1.2892539824398639,1.2892539824398639,-0.011466534417053253,0.011466534417053253,0.01149174639198236,7.3916375809848347,5.7332672085266267
35,4772,0,1,2,11.253888009441194,-299.78794598302113,12.993142940948859,-292.01136640172081,0,1,1,1.4662168355017893,1.4662168355017893,1.4662168355017893,1.4662168355017893,-0.01136640172083503,0.01136640172083503,0.011399001384972962,8.3328047810824142,5.6832008604175153
36,4773,0,1,2,12.846374029973774,-299.72358915994528,14.822999865719142,-292.01123433801729,0,1,1,1.7213661579017394,1.7213661579017394,1.7213661579017394,1.7213661579017394,-0.011234338017260372,0.011234338017260372,0.011277985367883048,9.6692046346704643,5.6171690086301851
37,4774,0,1,2,14.759744498298353,-299.63484015704483,17.017161372117712,-292.01105490549764,0,1,1,2.1095083855504293,2.1095083855504293,2.1095083855504293,2.1095083855504293,-0.011054905497616119,0.011054905497616119,0.01111485356045705,11.660207924344373,5.5274527488080603
38,4775,0,1,2,17.172766816939919,-299.50499434800975,19.776831043605828,-292.01080519741834,0,1,1,2.7235568286202585,2.7235568286202585,2.7235568286202585,2.7235568286202585,-0.01080519741833541,0.01080519741833541,0.010889418382305394,14.714284606648697,5.4025987091677052
39,4776,0,1,2,20.361908301551317,-299.30257228435642,23.41010160090493,-292.01046464357529,0,1,1,3.6676500851819309,3.6676500851819309,3.6676500851819309,3.6676500851819309,-0.010464643575261334,0.010464643575261334,0.010577041464273407,19.19032545010289,5.2323217876306671
40,4777,0,1,2,24.569542711253611,-298.98268229993027,28.175924588448115,-292.00999313816101,0,1,1,4.7721088415199144,4.7721088415199144,4.7721088415199144,4.7721088415199144,-0.0099931381609792425,0.0099931381609792425,0.010152964049780167,23.844171486269552,4.9965690804896212
41,4778,0,1,2,29.659946202817576,-298.51776838242836,33.893738515503372,-292.00929485175214,0,1,1,5.4514406245832481,5.4514406245832481,5.4514406245832481,5.4514406245832481,-0.0092948517521165286,0.0092948517521165286,0.0095381817094448706,25.335166220483416,4.6474258760582652
42,4779,0,1,2,35.171789341323773,-297.91777208683794,40.019070172973514,-292.00838143105659,0,1,1,5.6378397793534951,5.6378397793534951,5.6378397793534951,5.6378397793534951,-0.0083814310565628602,0.0083814310565628602,0.0086654647836894583,23.626582709299441,4.1907155282814301
43,4780,0,1,2,40.777206134547811,-297.20228457111023,46.174388526505119,-292.00733167209654,0,1,1,5.6644525148973095,5.6644525148973095,5.6644525148973095,5.6644525148973095,-0.0073316720965976856,0.0073316720965976856,0.0076537169876473854,20.764954222987594,3.6658360482988428
44,4781,0,1,2,46.382500015380039,-296.37920875026595,52.256211073811393,-292.00635379418583,0,1,1,5.6668555264931086,5.6668555264931086,5.6668555264931086,5.6668555264931086,-0.0063537941858271552,0.0063537941858271552,0.0065963273698343983,18.003016848077198,3.1768970929135776
45,4782,0,1,2,51.972508213586352,-295.45021519734183,58.253718798510278,-292.00485527556668,0,1,1,5.6670026762271588,5.6670026762271588,5.6670026762271588,5.6670026762271588,-0.0048552755666548819,0.0048552755666548819,0.0054779125108552762,13.757429815026775,2.427637783327441
46,4783,0,1,2,57.54404676722703,-294.41578411196468,64.147015565086306,-292.00503055248146,0,1,1,5.6670088717810572,5.6670088717810572,5.6670088717810572,5.6670088717810572,-0.005030552481457562,0.005030552481457562,0.0057543855995731974,14.254092771190109,2.515276240728781
47,4784,0,0,0,63.095054837238166,-293.2762951675233,69.880510729522911,-291.95328325979915,0,1,1,5.6670090515814682,0,5.6670090515814682,0,0.046716740200821505,0,0,0,0
