contour,relative_angle_deg,radius_мм,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-30.000000000000068,249.99999999999994,-2.4271566697177525,-1.5549366904348758,-0.8715523831474831
inner,-29.250000000000064,249.99999999999994,-1.6040747871504593,-1.0354902746825154,-0.7062373118262333
inner,-28.50000000000006,249.99999999999997,-0.6840408468053921,-0.5056194958787363,-0.5150698727650964
inner,-27.750000000000156,249.99999999999997,-0.5018210130766206,-0.401071514787754,-0.47901130810567133
inner,-27.000000000000153,249.99999999999994,-0.3499230013121035,-0.27606536024872075,-0.4881922508666907
inner,-26.25000000000025,249.99999999999994,-0.2575813746575906,-0.19231025243956607,-0.5127278285062998
inner,-25.500000000000245,249.99999999999994,-0.18850804142386143,-0.12472969239531076,-0.5455371516403936
inner,-24.75000000000024,249.99999999999994,-0.1387218009503528,-0.07187062474431433,-0.5843444236990865
inner,-24.000000000000288,249.99999999999997,-0.10331221019396952,-0.02968673571457653,-0.6286478179609352
inner,-23.250000000000334,249.99999999999997,-0.08060780574016352,0.003483200683915666,-0.6785028533604365
inner,-22.50000000000033,249.99999999999997,-0.06992763963114035,0.028693565592741388,-0.7341973695492587
inner,-21.750000000000377,249.99999999999997,-0.07157389994742197,0.046290552976544,-0.7960651711045138
inner,-21.000000000000423,249.99999999999997,-0.08655933141075262,0.0561119134946193,-0.8643655555806506
inner,-20.25000000000042,250.00000000000003,-0.11651022976132303,0.0575223184492602,-0.9391667647666104
inner,-19.500000000000465,250.00000000000003,-0.1635579063608864,0.04943218496181079,-1.0202203040857905
inner,-18.75000000000051,250.0,-0.23020783453888377,0.03029000587866587,-1.106819480904563
inner,-18.000000000000508,250.00000000000003,-0.31919034247309974,-0.0019667022371649967,-1.1976409994376118
inner,-17.250000000000554,250.00000000000003,-0.4330905694974636,-0.04985847402817484,-1.290609117458338
inner,-16.5000000000006,250.00000000000003,-0.5736141995406342,-0.11602035924862775,-1.382918937854873
inner,-15.7500000000007,250.00000000000003,-0.7409874517452867,-0.20280013619690895,-1.4712758881956463
inner,-15.000000000000645,250.00000000000003,-0.9338481829487123,-0.31202510214010876,-1.5522290851560383
inner,-14.25000000000064,250.00000000000003,-1.1494711440574878,-0.4448870422001909,-1.6224668130253663
inner,-13.500000000000636,250.00000000000006,-1.3840929591039193,-0.601857321695686,-1.6790291827026103
inner,-12.750000000000632,250.00000000000003,-1.632999696373381,-0.7823990464576882,-1.7195119072274858
inner,-12.000000000000627,250.00000000000003,-1.8906698532280377,-0.9846439611533924,-1.742321285479683
inner,-11.250000000000675,250.00000000000003,-2.151810939769622,-1.2058136720189632,-1.7467410997376027
inner,-10.50000000000067,250.00000000000003,-2.412315516656275,-1.4429492577115242,-1.7326312805286712
inner,-9.750000000000563,250.00000000000003,-2.6689136886007736,-1.6929024343674637,-1.7001084289165318
inner,-9.00000000000056,249.99999999999997,-2.918570229631698,-1.9520345382944613,-1.649466226739552
inner,-8.250000000000556,249.99999999999994,-3.1583903321765736,-2.2161758392639683,-1.5812006520317852
inner,-7.500000000000552,249.99999999999997,-3.3856740227837503,-2.4806989098204237,-1.4960301499515936
inner,-6.750000000000547,249.99999999999997,-3.5979608203960742,-2.7406364999974757,-1.3948951534490202
inner,-6.000000000000543,249.99999999999997,-3.793061939082876,-2.990835691088942,-1.2789423565012608
inner,-5.250000000000538,249.99999999999997,-3.969081348926035,-3.2261343002720886,-1.1494986592109666
inner,-4.500000000000535,249.99999999999997,-4.124423192906781,-3.4415426068129658,-1.0080385778868837
inner,-3.750000000000479,249.99999999999997,-4.257784445924694,-3.632414339029241,-0.8561495765945174
inner,-3.0000000000004747,250.00000000000003,-4.368136167018561,-3.7945964585393694,-0.6954989262249526
inner,-2.2500000000004707,250.00000000000003,-4.45469634142024,-3.924550593246971,-0.5278051032809387
inner,-1.5000000000004665,250.00000000000006,-4.516899173531213,-4.019444584130084,-0.3548155843378817
inner,-0.7500000000004622,250.0,-4.554365277689762,-4.077216100694162,-0.17829170746343442
inner,-4.579998741307465e-13,249.99999999999997,-4.566877494901153,-4.0966131444155955,-1.0974306975957126e-13
inner,0.7499999999995463,250.00000000000003,-4.554365277689784,-4.077216100694208,0.17829170746321832
inner,1.4999999999995506,250.00000000000006,-4.516899173531267,-4.01944458413017,0.35481558433766924
inner,2.2499999999995546,250.00000000000003,-4.454696341420312,-3.9245505932470905,0.5278051032807207
inner,2.9999999999996096,250.0,-4.368136167018677,-3.7945964585395564,0.6954989262247404
inner,3.749999999999614,249.99999999999997,-4.2577844459248935,-3.632414339029515,0.8561495765943238
inner,4.499999999999618,250.0,-4.124423192906941,-3.4415426068131834,1.008038577886698
inner,5.2499999999996225,249.99999999999991,-3.9690813489262,-3.226134300272318,1.14949865921078
inner,5.999999999999627,249.99999999999997,-3.793061939083116,-2.9908356910892437,1.2789423565011067
inner,6.749999999999631,249.99999999999997,-3.597960820396317,-2.7406364999977813,1.3948951534488985
inner,7.499999999999635,249.99999999999997,-3.3856740227840474,-2.480698909820799,1.4960301499514908
inner,8.249999999999691,250.00000000000003,-3.1583903321769404,-2.2161758392643485,1.5812006520317328
inner,8.999999999999694,250.0,-2.9185702296319156,-1.9520345382946225,1.6494662267395044
inner,9.749999999999698,249.99999999999997,-2.668913688601042,-1.6929024343677004,1.7001084289164723
inner,10.499999999999703,250.00000000000003,-2.412315516656668,-1.4429492577119212,1.7326312805286324
inner,11.249999999999707,250.00000000000003,-2.151810939769932,-1.2058136720192651,1.7467410997375872
inner,11.999999999999712,250.00000000000003,-1.8906698532283288,-0.9846439611536318,1.742321285479695
inner,12.749999999999716,250.00000000000003,-1.6329996963736737,-0.7823990464578929,1.7195119072275242
inner,13.49999999999972,250.00000000000003,-1.3840929591042,-0.6018573216958762,1.6790291827026642
inner,14.249999999999725,250.00000000000003,-1.1494711440577792,-0.4448870422003913,1.6224668130254498
inner,14.99999999999978,250.00000000000006,-0.9338481829489836,-0.3120251021402827,1.552229085156152
inner,15.749999999999783,250.00000000000003,-0.7409874517454542,-0.20280013619696613,1.4712758881957617
