contour,relative_angle_deg,radius_ед. длины,sigma_rr_mpa,sigma_tt_mpa,tau_rt_mpa
inner,-29.999999999999993,0.25,-0.026340919670042803,-0.005413985002733828,-0.007118881223096328
inner,-27.936527690864057,0.24999999999999997,-0.02497438700216982,-0.005725400136566582,-0.007354785623785904
inner,-25.87305541307173,0.24999999999999997,-0.022759927997607537,-0.006411953961474589,-0.008301552225864076
inner,-23.809583706675486,0.24999999999999997,-0.021989973753280788,-0.006517299034740841,-0.008647408288479624
inner,-21.74612022231059,0.24999999999999994,-0.022028333376422297,-0.0062528139211500714,-0.008671710893026437
inner,-19.682750008876322,0.25,-0.022548988358685566,-0.005757265931148014,-0.008479694250931182
inner,-17.620212667992686,0.25000000000000006,-0.0233568666560866,-0.005123452291727909,-0.008115851358241803
inner,-15.563483461896848,0.25000000000000006,-0.024318241037628474,-0.0044198251702258886,-0.007601536720463117
inner,-13.537489061526168,0.25,-0.02532256224316331,-0.003707687775482067,-0.00695738734391218
inner,-11.624783136516147,0.25,-0.02625919148035168,-0.003054605221870432,-0.0062323135671596445
inner,-9.965899725653864,0.25,-0.027032492088579448,-0.0025222888150797152,-0.005517596713753619
inner,-8.635647292392957,0.25,-0.027611925569257283,-0.002127410672850158,-0.004889697511060797
inner,-7.588708103234156,0.25,-0.028030852194835146,-0.0018430832888334946,-0.004363493255317314
inner,-6.7447481474882585,0.24999999999999994,-0.028338064444469433,-0.0016345918853924192,-0.003920793675716166
inner,-6.040727800690067,0.24999999999999994,-0.0285708127403265,-0.0014764770842075785,-0.003540178527206628
inner,-5.4348742502269625,0.25,-0.028752877812590436,-0.001352671421341171,-0.0032051975839299165
inner,-4.900115412155636,0.25,-0.02889902950273414,-0.0012532134028720708,-0.0029043306604863983
inner,-4.41836697887726,0.25,-0.029018681372733137,-0.0011717442323127805,-0.0026294935727778418
inner,-3.977226753955403,0.25,-0.029118044133360124,-0.0011040634279154361,-0.0023749508820865802
inner,-3.567841265776456,0.25,-0.029201369707928016,-0.0010472904105974959,-0.0021365009992660032
inner,-3.1836773818035704,0.25,-0.029271663305548798,-0.0009993865612578571,-0.001910978157219333
inner,-2.819801525751851,0.25000000000000006,-0.029331102882856293,-0.0009588734870505212,-0.001695950066448289
inner,-2.472332717239211,0.25000000000000006,-0.029381304128737018,-0.0009246529845850888,-0.0014894747166833316
inner,-2.138204436226043,0.25,-0.02942348068502636,-0.0008959002901509852,-0.0012899974904244608
inner,-1.8148726479112693,0.2500000000000001,-0.029458557334157674,-0.0008719860992764126,-0.001096214025395586
inner,-1.500222239866794,0.25000000000000006,-0.02948723964262495,-0.0008524303990137088,-0.0009070284895360165
inner,-1.1924329650492962,0.25,-0.029510064861264135,-0.0008368674929585983,-0.0007214897516471378
inner,-0.8899068795812323,0.25000000000000006,-0.029527436303408615,-0.0008250228136499019,-0.0005387563062237368
inner,-0.5912033676193622,0.25,-0.029539647202558004,-0.0008166966779918091,-0.0003580645784915324
