 nodeID, x, y, ux, uy, sx, sy, sxy
1,-125,-216.506,0,0,-0.0898016,-0.309934,0.0316522
2,-124.092,-217.028,0,0,-0.0678086,-0.226278,0.0261022
3,-123.182,-217.546,0,0,-0.0458953,-0.131168,0.0187846
4,-122.27,-218.06,0,0,-0.0410417,-0.109898,0.0163961
5,-121.355,-218.57,0,0,-0.0331601,-0.0943722,0.0154388
6,-120.438,-219.077,0,0,-0.0274477,-0.0841304,0.0149597
7,-119.52,-219.579,0,0,-0.0223747,-0.0761104,0.0147825
8,-118.599,-220.078,0,0,-0.0180261,-0.0697867,0.0147893
9,-117.676,-220.573,0,0,-0.01418,-0.0646052,0.0149246
10,-116.751,-221.064,0,0,-0.0107511,-0.0602847,0.0151519
11,-115.824,-221.551,0,0,-0.00766047,-0.056621,0.0154483
12,-114.895,-222.034,0,0,-0.00485361,-0.0534756,0.015798
13,-113.964,-222.513,0,0,-0.00228745,-0.0507475,0.0161902
14,-113.031,-222.989,0,0,7.17355e-05,-0.0483615,0.0166173
15,-112.096,-223.46,0,0,0.00225122,-0.0462601,0.0170737
16,-111.159,-223.928,0,0,0.00427337,-0.0443985,0.0175553
17,-110.22,-224.392,0,0,0.00615681,-0.0427413,0.0180593
18,-109.279,-224.851,0,0,0.00791726,-0.0412599,0.0185834
19,-108.336,-225.307,0,0,0.00956811,-0.0399311,0.0191262
20,-107.391,-225.759,0,0,0.0111209,-0.0387358,0.0196867
21,-106.445,-226.207,0,0,0.0125856,-0.037658,0.0202641
22,-105.496,-226.651,0,0,0.0139711,-0.0366846,0.0208581
23,-104.546,-227.091,0,0,0.0152849,-0.0358042,0.0214685
24,-103.594,-227.526,0,0,0.0165339,-0.0350074,0.0220955
25,-102.64,-227.958,0,0,0.0177243,-0.0342861,0.0227392
26,-101.684,-228.386,0,0,0.0188614,-0.0336334,0.0234001
27,-100.727,-228.81,0,0,0.0199502,-0.0330434,0.0240787
28,-99.7673,-229.23,0,0,0.020995,-0.032511,0.0247757
29,-98.8062,-229.646,0,0,0.0219999,-0.0320319,0.0254919
30,-97.8434,-230.058,0,0,0.0229685,-0.0316024,0.0262283
31,-96.8789,-230.466,0,0,0.0239041,-0.0312194,0.0269858
32,-95.9127,-230.87,0,0,0.0248096,-0.0308804,0.0277657
33,-94.9448,-231.269,0,0,0.0256877,-0.0305832,0.0285692
34,-93.9752,-231.665,0,0,0.0265409,-0.0303261,0.0293977
35,-93.004,-232.057,0,0,0.0273713,-0.0301079,0.0302527
36,-92.0311,-232.444,0,0,0.0281808,-0.0299276,0.0311359
37,-91.0567,-232.828,0,0,0.028971,-0.0297847,0.032049
38,-90.0806,-233.207,0,0,0.0297435,-0.0296789,0.032994
39,-89.103,-233.582,0,0,0.0304992,-0.0296103,0.0339727
40,-88.1238,-233.953,0,0,0.0312393,-0.0295795,0.0349873
41,-87.143,-234.32,0,0,0.0319642,-0.029587,0.03604
42,-86.1607,-234.683,0,0,0.0326743,-0.0296341,0.0371333
43,-85.1769,-235.042,0,0,0.0333697,-0.029722,0.0382696
44,-84.1917,-235.397,0,0,0.0340503,-0.0298525,0.0394514
45,-83.2049,-235.748,0,0,0.0347153,-0.0300277,0.0406816
46,-82.2167,-236.094,0,0,0.0353639,-0.0302497,0.0419629
47,-81.227,-236.436,0,0,0.035995,-0.0305213,0.0432983
48,-80.2359,-236.775,0,0,0.0366068,-0.0308455,0.0446908
49,-79.2434,-237.109,0,0,0.0371973,-0.0312256,0.0461435
50,-78.2495,-237.438,0,0,0.0377641,-0.0316652,0.0476597
51,-77.2542,-237.764,0,0,0.0383043,-0.0321684,0.0492426
52,-76.2576,-238.086,0,0,0.0388145,-0.0327394,0.0508956
53,-75.2597,-238.403,0,0,0.0392908,-0.033383,0.0526222
54,-74.2604,-238.716,0,0,0.0397289,-0.0341041,0.0544256
55,-73.2598,-239.025,0,0,0.0401238,-0.0349084,0.0563095
56,-72.2579,-239.33,0,0,0.04047,-0.0358014,0.0582771
57,-71.2548,-239.63,0,0,0.0407614,-0.0367894,0.060332
58,-70.2504,-239.927,0,0,0.0409912,-0.0378788,0.0624776
59,-69.2448,-240.219,0,0,0.0411521,-0.0390767,0.0647169
60,-68.238,-240.507,0,0,0.0412359,-0.0403902,0.0670533
61,-67.23,-240.791,0,0,0.0412338,-0.0418269,0.0694898
62,-66.2207,-241.07,0,0,0.0411364,-0.043395,0.0720291
63,-65.2104,-241.345,0,0,0.0409334,-0.0451028,0.0746739
64,-64.1989,-241.616,0,0,0.0406137,-0.0469589,0.0774264
65,-63.1862,-241.883,0,0,0.0401657,-0.0489725,0.0802887
66,-62.1725,-242.146,0,0,0.0395767,-0.051153,0.0832623
67,-61.1576,-242.404,0,0,0.0388334,-0.05351,0.0863484
68,-60.1417,-242.658,0,0,0.0379217,-0.0560536,0.0895476
69,-59.1247,-242.908,0,0,0.0368267,-0.058794,0.0928601
70,-58.1067,-243.153,0,0,0.0355328,-0.0617418,0.0962853
71,-57.0877,-243.395,0,0,0.0340235,-0.0649075,0.099822
72,-56.0677,-243.632,0,0,0.0322818,-0.068302,0.103468
73,-55.0467,-243.864,0,0,0.0302899,-0.0719364,0.10722
74,-54.0247,-244.093,0,0,0.0280296,-0.0758214,0.111075
75,-53.0018,-244.317,0,0,0.0254819,-0.0799681,0.115028
76,-51.9779,-244.537,0,0,0.0226276,-0.0843874,0.119072
77,-50.9532,-244.752,0,0,0.0194471,-0.0890899,0.1232
78,-49.9275,-244.964,0,0,0.0159204,-0.0940861,0.127404
79,-48.901,-245.171,0,0,0.0120275,-0.0993859,0.131674
80,-47.8736,-245.373,0,0,0.0077487,-0.104999,0.135998
81,-46.8453,-245.572,0,0,0.00306415,-0.110935,0.140363
82,-45.8163,-245.766,0,0,-0.00204538,-0.117201,0.144754
83,-44.7864,-245.956,0,0,-0.00759852,-0.123804,0.149156
84,-43.7558,-246.141,0,0,-0.013613,-0.130753,0.153549
85,-42.7244,-246.322,0,0,-0.0201056,-0.138051,0.157914
86,-41.6922,-246.499,0,0,-0.0270915,-0.145703,0.16223
87,-40.6593,-246.671,0,0,-0.0345843,-0.15371,0.166472
88,-39.6257,-246.84,0,0,-0.0425957,-0.162075,0.170616
89,-38.5914,-247.003,0,0,-0.0511348,-0.170795,0.174634
90,-37.5564,-247.163,0,0,-0.0602085,-0.179868,0.178497
91,-36.5208,-247.318,0,0,-0.0698202,-0.189288,0.182175
92,-35.4845,-247.469,0,0,-0.0799704,-0.199048,0.185636
93,-34.4476,-247.615,0,0,-0.0906558,-0.209137,0.188846
94,-33.4101,-247.757,0,0,-0.101869,-0.219543,0.191773
95,-32.372,-247.895,0,0,-0.113598,-0.230249,0.194379
96,-31.3333,-248.029,0,0,-0.125827,-0.241237,0.196629
97,-30.2941,-248.158,0,0,-0.138535,-0.252484,0.198488
98,-29.2544,-248.282,0,0,-0.151694,-0.263967,0.199918
99,-28.2141,-248.403,0,0,-0.165275,-0.275656,0.200885
100,-27.1733,-248.519,0,0,-0.179239,-0.28752,0.201352
101,-26.1321,-248.63,0,0,-0.193544,-0.299524,0.201288
102,-25.0904,-248.738,0,0,-0.208142,-0.311631,0.200659
103,-24.0483,-248.841,0,0,-0.222979,-0.3238,0.199436
104,-23.0058,-248.939,0,0,-0.237998,-0.335987,0.197591
105,-21.9628,-249.033,0,0,-0.253134,-0.348146,0.1951
106,-20.9195,-249.123,0,0,-0.268319,-0.360229,0.191944
107,-19.8758,-249.209,0,0,-0.283481,-0.372184,0.188104
108,-18.8317,-249.29,0,0,-0.298544,-0.383961,0.18357
109,-17.7873,-249.366,0,0,-0.31343,-0.395505,0.178333
110,-16.7426,-249.439,0,0,-0.328055,-0.406763,0.17239
111,-15.6976,-249.507,0,0,-0.342339,-0.41768,0.165745
112,-14.6524,-249.57,0,0,-0.356196,-0.428201,0.158406
113,-13.6068,-249.629,0,0,-0.369543,-0.438273,0.150386
114,-12.5611,-249.684,0,0,-0.382298,-0.447843,0.141704
115,-11.5151,-249.735,0,0,-0.394378,-0.45686,0.132386
116,-10.4689,-249.781,0,0,-0.405706,-0.465274,0.122463
117,-9.42255,-249.822,0,0,-0.416206,-0.47304,0.111969
118,-8.37601,-249.86,0,0,-0.425808,-0.480114,0.100946
119,-7.32933,-249.893,0,0,-0.434445,-0.486455,0.0894388
120,-6.28252,-249.921,0,0,-0.442059,-0.492028,0.0774986
121,-5.2356,-249.945,0,0,-0.448595,-0.4968,0.0651789
122,-4.18859,-249.965,0,0,-0.454007,-0.500743,0.0525375
123,-3.14151,-249.98,0,0,-0.458258,-0.503834,0.0396349
124,-2.09437,-249.991,0,0,-0.461316,-0.506055,0.0265343
125,-1.04719,-249.998,0,0,-0.46316,-0.507393,0.0133006
126,-2.05963e-12,-250,0,0,-0.463776,-0.50784,7.73626e-14
127,1.04719,-249.998,0,0,-0.46316,-0.507393,-0.0133006
128,2.09437,-249.991,0,0,-0.461316,-0.506055,-0.0265343
129,3.14151,-249.98,0,0,-0.458258,-0.503834,-0.0396349
130,4.18859,-249.965,0,0,-0.454007,-0.500743,-0.0525375
131,5.2356,-249.945,0,0,-0.448595,-0.4968,-0.0651789
132,6.28252,-249.921,0,0,-0.442059,-0.492028,-0.0774986
133,7.32933,-249.893,0,0,-0.434445,-0.486455,-0.0894388
134,8.37601,-249.86,0,0,-0.425808,-0.480114,-0.100946
135,9.42255,-249.822,0,0,-0.416206,-0.47304,-0.111969
136,10.4689,-249.781,0,0,-0.405706,-0.465274,-0.122463
137,11.5151,-249.735,0,0,-0.394378,-0.45686,-0.132386
138,12.5611,-249.684,0,0,-0.382298,-0.447843,-0.141704
139,13.6068,-249.629,0,0,-0.369543,-0.438273,-0.150386
140,14.6524,-249.57,0,0,-0.356196,-0.428201,-0.158406
141,15.6976,-249.507,0,0,-0.342339,-0.41768,-0.165745
142,16.7426,-249.439,0,0,-0.328055,-0.406763,-0.17239
143,17.7873,-249.366,0,0,-0.31343,-0.395505,-0.178333
144,18.8317,-249.29,0,0,-0.298544,-0.383961,-0.18357
145,19.8758,-249.209,0,0,-0.283481,-0.372184,-0.188104
146,20.9195,-249.123,0,0,-0.268319,-0.360229,-0.191944
147,21.9628,-249.033,0,0,-0.253134,-0.348146,-0.1951
148,23.0058,-248.939,0,0,-0.237998,-0.335987,-0.197591
149,24.0483,-248.841,0,0,-0.222979,-0.3238,-0.199436
